# engineering_entries.tsv — 工学・情報系専門用語 (M5選別出力 + batch2〜12追加)
# 出典: SudachiDict sudachidict-raw v1/20260723 (Apache-2.0): core_lex/small_lex/notcore_lex を
#   名詞/普通名詞に限定し工学モーフィム(回路/素子/軸受/〜反応/〜酸化/〜制御 等)で広域抽出 (batch11)
#   + NEologd mecab-user-dict-seed.20200910 (Apache-2.0): 名詞を工学モーフィムで広域抽出 (batch12)
#   + Mozc OSS dictionary (BSD-3-Clauseほか; 読みの裏付けのみ) + Wikidata P1814 (CC0)
#   + IPAシラバス用語集 (見出しのみ) + ユーザー指定読み (DynamoDBほか)
# 選別: supplemental抜き base converter (presire/AzooKeyKanaKanjiConverter hazkey 0ad0617,
#   同梱 azooKey_dictionary_storage), N_best=30, typoCorrectionMode=.disabled, learningType=.nothing,
#   specialCandidateProviders=[], zenzaiMode=.off, 補正なし単回変換。Evaluate準拠 exact-length フィルタ
#   (連結ruby==照会カタカナ) の上で正表層がN-bestのどこにも出ないものだけ収録(MISS)。出れば非収録(HIT)。
# 形式: reading(カタカナ)<TAB>surface<TAB>pos (pos: proper=1288固有名詞 / org=1292固有名詞組織 / general=1285一般名詞)
# lcid=rcid=選択CID, MID=一般501, score=-15.5 (DicdataStore.threshold -17 を下回らない)
# 制約: 全件カタカナのみ・全文字charID.chid収録・読み長<=20・(reading,surface)重複なし
# 除外記録 (2026-09-25): 全件見直しで工学・情報系の専門用語/名称に当たらない12件を除外
#   (レジャー施設・番組・映画等の娯楽9、人名2、記念日1)。FET の読み「フェット」を1件追加。870件 → 859件
パルミトイルカハンノウ	パルミトイル化反応	general
ヒカクヨウトリョウ	皮革用塗料	general
ヒカリイチセンサ	光位置センサ	general
ヒカリファイバホウ	光ファイバ法	general
ヒッパリ	引張	general
ヒトカリュウキュウアナプラズマショウ	ヒト顆粒球アナプラズマ症	general
ヒョウメンダンセイハ	表面弾性波	general
ヒョウメンプラズモンキョウメイ	表面プラズモン共鳴	general
ヒロウシケン	疲労試験	general
ビギネリハンノウ	ビギネリ反応	general
ビスマレイミドトリアジンジュシ	ビスマレイミドトリアジン樹脂	general
ビダールハンノウ	ビダール反応	general
ビッグパレットフクシマ	ビッグパレットふくしま	general
ピーエルホウ	PL法	general
ファイバーソク	ファイバー束	general
ファイルキジュツシ	ファイル記述子	general
フェット	FET	general
フェリジセイ	フェリ磁性	general
フカダツリハンノウ	付加脱離反応	general
フキガラス	吹きガラス	general
フジダイス	冨士ダイス	general
フジトソウ	富士塗装	general
フジワラトソウ	藤原塗装	general
フセイアリルイアルキルカハンノウ	不斉アリル位アルキル化反応	general
フセイゴウセイ	不斉合成	general
フセイショクバイ	不斉触媒	general
フタミコウガクトソウ	双三光学塗装	general
フドウブッシュジクウケ	浮動ブッシュ軸受	general
フラウンホーファーカイセツ	フラウンホーファー回折	general
ブブンテキサイショウジジョウカイキ	部分的最小二乗回帰	general
ブロワチョウ	ブロワ朝	general
ブンプジョウスウカイロ	分布定数回路	general
プラズマタイコウキキ	プラズマ対向機器	general
プラズモニックタイヨウデンチ	プラズモニック太陽電池	general
プレストレストコンクリートキョウ	プレストレストコンクリート橋	general
ヘイループセイギョ	閉ループ制御	general
ヘックハンノウ	ヘック反応	general
ヘルボルハルトゼリンスキーハンノウ	ヘルボルハルトゼリンスキー反応	general
ヘンセイキ	変成器	general
ベイジアンサイテキカアルゴリズム	ベイジアン最適化アルゴリズム	general
ベロウソフジャボチンスキーハンノウ	ベロウソフジャボチンスキー反応	general
ベローソフジャボチンスキーハンノウ	ベローソフジャボチンスキー反応	general
ベースセッチカイロ	ベース接地回路	general
ペリカンジョウハンノウ	ペリ環状反応	general
ペルティエソシ	ペルティエ素子	general
ペロブスカイトタイヨウデンチ	ペロブスカイト太陽電池	general
ペロブスカイトハンドウタイ	ペロブスカイト半導体	general
ホウコウゾクキュウカクチカンハンノウ	芳香族求核置換反応	general
ホウコウゾクキュウデンシチカンハンノウ	芳香族求電子置換反応	general
ホウシャセンシャヘイガラス	放射線遮へいガラス	general
ホウデンサク	放電索	general
ホウラクセンケンパ	包絡線検波	general
ホブバン	ホブ盤	general
ホンダキカイコウグ	本田機械工具	general
ホーナーワズワースエモンズハンノウ	ホーナーワズワースエモンズ反応	general
ボイラーギシ	ボイラー技士	general
ボイラーヨウセツシ	ボイラー溶接士	general
ボウモウオリモノ	紡毛織物	general
ポロニウムカスイソ	ポロニウム化水素	general
ポンプソウホウ	ポンプ操法	general
ポールバンネルハンノウ	ポールバンネル反応	general
マガリバカサハグルマ	まがりばかさ歯車	general
マキバネ	巻きばね	general
マクラウドシンクウケイ	マクラウド真空計	general
マルエージングコウ	マルエージング鋼	general
マルゲキトークオンデマンド	丸激トークオンデマンド	general
マンニッヒハンノウ	マンニッヒ反応	general
ミカエリスアルブーゾフハンノウ	ミカエリスアルブーゾフ反応	general
ミガキオビコウ	磨帯鋼	general
ミサオシーケンサ	みさおシーケンサ	general
ミシマトソウ	三嶋塗装	general
ミチノエキスプリングスヒヨシ	道の駅スプリングスひよし	general
ミニッシハンノウ	ミニッシ反応	general
ミホテッキン	美保鉄筋	general
ミマスハンドウタイ	三益半導体	general
ミヤケシキコクゴドリル	三宅式こくごドリル	general
ミヤトソウ	宮塗装	general
ミーゼスオウリョク	ミーゼス応力	general
ムメイサイキ	無名再帰	general
メイセンケンマ	名千研磨	general
